ID,Minimum,GraphFill,GraphFillTime,CoarseGrow,CoarseGrowTime,Spectral,SpectralTime
0,182,602,967.947892,566,465.581474,354,666.897341
1,140,408,213.514431,280,431.537243,280,57.311857
2,163,394,250.230775,488,436.508376,326,803.456385
3,179,758,278.539638,844,447.524483,352,838.626208
4,168,480,323.749815,412,444.901113,336,379.604813
5,216,708,287.855173,504,466.194967,416,161.8209
6,192,640,317.0065,672,433.444519,378,699.403176
7,175,502,308.983243,342,449.635755,342,828.953228
8,136,302,313.978146,514,447.317779,928,671.568799
9,197,430,677.499437,952,451.078473,388,748.432718
10,186,518,977.076581,448,467.981591,372,24.765103
11,154,372,524.315288,478,432.109515,308,300.720787
12,161,446,477.33624,322,463.690746,322,1.314242
13,199,640,481.067448,602,451.769593,398,452.453493
14,174,548,601.720189,508,434.625471,340,157.797537
15,221,882,389.385207,442,452.165852,442,209.1944
16,187,494,140.094681,644,429.294486,366,542.049436
17,160,626,881.4474,650,425.805184,320,418.780547
18,225,638,949.327955,674,482.164757,946,334.267665
19,175,638,569.461979,412,438.134631,836,454.298788
20,173,520,910.939924,398,453.612783,346,241.676165
21,149,428,442.102631,332,423.957482,298,466.207905
22,190,492,511.170759,374,431.826689,374,16.036584
23,239,696,598.640385,950,451.404927,478,231.149288
24,135,398,406.056346,504,414.278485,270,745.441372
25,179,650,451.988333,500,418.678849,358,969.059642
26,163,552,401.879234,352,435.47666,326,784.831634
27,226,558,472.305232,710,431.579065,438,697.360202
28,141,450,560.182549,256,431.029358,992,991.307587
29,204,494,988.767862,506,440.635843,966,50.534844
30,185,576,48.27945,574,434.164523,370,43.231592
31,188,566,380.036575,398,453.199374,986,601.931708
32,197,458,856.151545,400,438.484553,394,867.918346
33,232,556,167.61524,654,433.307318,464,451.273443
34,228,674,211.676357,726,447.977307,456,395.480126
35,188,556,763.238404,376,429.486447,376,306.29368
36,167,370,8.632538,334,464.988139,334,807.663886
37,138,516,474.722198,290,410.541559,280,555.895315
38,217,490,547.952093,550,443.083498,430,143.961887
39,155,336,764.360083,262,452.611755,262,44.785936
40,184,518,358.520671,610,434.234929,358,579.978023
41,212,706,57.799282,572,484.712606,402,257.064354
42,144,516,931.040791,806,430.765787,288,168.069268
43,129,350,407.409703,402,434.673311,254,85.030696
44,224,496,347.714879,448,432.174806,448,772.548222
45,166,698,365.811587,384,426.127727,332,699.129073
46,138,382,365.448726,372,447.693577,1098,135.653396
47,135,368,373.270093,456,424.661239,268,132.327773
48,149,420,360.904541,298,435.66471,298,551.928218
49,171,634,338.757692,544,433.387051,342,424.136205
50,207,690,308.869812,556,464.929769,400,754.666343
51,151,432,414.390713,468,458.945875,302,427.004791
52,140,462,341.035652,346,421.620249,942,961.5885
53,166,336,398.950772,442,455.79416,332,420.183549
54,210,658,356.88539,420,443.912122,420,256.697581
55,202,516,367.284393,404,455.579031,402,807.535711
56,219,820,379.702598,1052,460.270647,438,233.422133
57,225,750,365.904859,446,443.613949,444,567.956979
58,137,446,403.917994,274,439.789168,274,845.785038
59,128,374,404.726759,286,455.868176,254,615.288056
60,129,532,339.69734,548,429.30983,258,175.241335
61,114,412,358.669305,228,466.601156,228,341.921141
62,220,588,344.309824,626,439.740124,440,201.81954
63,127,382,358.170447,254,461.611066,254,909.048294
64,139,464,626.209686,482,440.714674,278,908.549736
65,222,918,384.878631,420,429.660957,420,407.994914
66,149,510,498.462205,360,461.701631,298,55.892307
67,185,566,522.254263,422,431.959677,370,100.025033
68,172,378,372.146307,344,466.764834,344,283.726202
69,162,422,998.97069,448,451.384768,324,846.040785
70,205,592,258.741156,564,437.336095,410,734.979486
71,135,622,898.364659,270,472.440627,270,152.968117
72,161,428,426.761079,438,445.219142,322,400.404322
73,187,544,940.102685,428,480.751826,374,383.187387
74,171,662,701.382361,342,433.476713,342,795.536932
75,151,556,607.032821,332,434.107958,302,942.236522
76,156,466,970.980157,368,448.010403,312,35.450242
77,213,502,272.098708,490,450.219462,412,987.168987
78,137,334,866.576423,332,448.416891,274,489.668093
79,187,526,406.770032,552,421.93527,374,978.909239
80,176,582,534.878872,352,442.992634,352,427.404359
81,210,504,708.833646,478,431.697611,420,278.685866
82,181,472,741.168581,414,435.943926,340,514.201218
83,228,716,680.900882,456,444.502748,456,682.077321
84,163,420,493.092405,328,426.934988,326,964.508838
85,153,348,681.286609,340,449.964315,306,996.144528
86,140,292,417.698884,412,450.103623,280,455.716232
87,157,444,436.593224,314,430.810317,314,669.80444
88,194,388,263.159273,586,428.650904,1030,609.398036
89,140,324,588.160445,620,417.913713,280,420.428164
90,208,632,163.199531,770,445.350928,394,885.454514
91,214,634,600.080395,400,462.96683,400,53.116391
92,124,256,870.761358,524,458.454838,238,342.173278
93,191,614,388.214785,382,433.124985,356,750.751597
94,138,436,191.439793,354,435.408059,274,936.169285
95,145,564,299.515163,470,448.049818,308,395.462073
96,196,658,977.085607,546,428.928315,392,810.658842
97,179,434,677.627913,358,438.370219,358,497.812304
98,131,308,0.954992,298,422.614054,262,67.782469
99,205,716,295.549569,520,462.276311,388,735.191004
